HOUSEHOLD INFO: Latitude	HOUSEHOLD INFO: Longitude
0.519338	-1.666107
0.519338	-1.666107
0.519495	-1.66748
0.519495	-1.66748
0.521071	-1.668335
0.521071	-1.668335
0.521071	-1.668335
0.521071	-1.668335
0.51955	-1.666064
0.519683	-1.667502
0.519683	-1.667502
0.519684	-1.667507
0.519684	-1.667507
0.520958	-1.668393
0.520958	-1.668393
0.520958	-1.668393
0.519619	-1.665389
0.51741	-1.66642
0.519638	-1.667534
0.519319	-1.666226
0.519319	-1.666226
0.519319	-1.666226
0.515805	-1.665221
0.519568	-1.667546
0.519323	-1.66612
0.51995	-1.666659
0.51995	-1.666659
0.51996	-1.666261
0.519306	-1.66496
0.517406	-1.667594
